timestamp,open,high,low,close,volume,date,time,symbol
2025-11-03 08:00:00,10400.0,10400.26,10399.74,10400.0,2649513,2025-11-03,08:00:00,FTSE100
2025-11-03 08:01:00,10400.0,10400.31,10399.8,10400.11,2610932,2025-11-03,08:01:00,FTSE100
2025-11-03 08:02:00,10400.11,10400.66,10399.9,10400.45,2573101,2025-11-03,08:02:00,FTSE100
2025-11-03 08:03:00,10400.45,10400.51,10400.29,10400.34,2536004,2025-11-03,08:03:00,FTSE100
2025-11-03 08:04:00,10400.34,10400.69,10399.39,10399.74,2499627,2025-11-03,08:04:00,FTSE100
2025-11-03 08:05:00,10399.74,10399.77,10399.45,10399.48,2463957,2025-11-03,08:05:00,FTSE100
2025-11-03 08:06:00,10399.48,10399.62,10398.65,10398.79,2428979,2025-11-03,08:06:00,FTSE100
2025-11-03 08:07:00,10398.79,10399.08,10398.66,10398.95,2394681,2025-11-03,08:07:00,FTSE100
2025-11-03 08:08:00,10398.95,10400.27,10398.81,10400.13,2361049,2025-11-03,08:08:00,FTSE100
2025-11-03 08:09:00,10400.13,10400.34,10399.63,10399.84,2328070,2025-11-03,08:09:00,FTSE100
2025-11-03 08:10:00,10399.84,10399.96,10399.34,10399.45,2295731,2025-11-03,08:10:00,FTSE100
2025-11-03 08:11:00,10399.45,10399.96,10399.45,10399.95,2264020,2025-11-03,08:11:00,FTSE100
2025-11-03 08:12:00,10399.95,10400.48,10399.82,10400.35,2232925,2025-11-03,08:12:00,FTSE100
2025-11-03 08:13:00,10400.35,10400.76,10400.12,10400.54,2202434,2025-11-03,08:13:00,FTSE100
2025-11-03 08:14:00,10400.54,10400.64,10399.8,10399.9,2172535,2025-11-03,08:14:00,FTSE100
2025-11-03 08:15:00,10399.9,10400.08,10399.81,10399.98,2143217,2025-11-03,08:15:00,FTSE100
2025-11-03 08:16:00,10399.98,10400.65,10399.98,10400.65,2114468,2025-11-03,08:16:00,FTSE100
2025-11-03 08:17:00,10400.65,10400.86,10399.46,10399.68,2086278,2025-11-03,08:17:00,FTSE100
2025-11-03 08:18:00,10399.68,10399.81,10399.3,10399.42,2058634,2025-11-03,08:18:00,FTSE100
2025-11-03 08:19:00,10399.42,10399.47,10397.96,10398.01,2031528,2025-11-03,08:19:00,FTSE100
2025-11-03 08:20:00,10398.01,10398.06,10397.03,10397.08,2004948,2025-11-03,08:20:00,FTSE100
2025-11-03 08:21:00,10397.08,10397.12,10395.68,10395.72,1978885,2025-11-03,08:21:00,FTSE100
2025-11-03 08:22:00,10395.72,10395.96,10395.39,10395.64,1953327,2025-11-03,08:22:00,FTSE100
2025-11-03 08:23:00,10395.64,10395.69,10394.68,10394.73,1928266,2025-11-03,08:23:00,FTSE100
2025-11-03 08:24:00,10394.73,10395.07,10394.71,10395.05,1903691,2025-11-03,08:24:00,FTSE100
2025-11-03 08:25:00,10395.05,10395.32,10395.02,10395.29,1879594,2025-11-03,08:25:00,FTSE100
2025-11-03 08:26:00,10395.29,10395.31,10395.22,10395.24,1855965,2025-11-03,08:26:00,FTSE100
2025-11-03 08:27:00,10395.24,10395.28,10393.31,10393.34,1832795,2025-11-03,08:27:00,FTSE100
2025-11-03 08:28:00,10393.34,10393.61,10392.74,10393.02,1810075,2025-11-03,08:28:00,FTSE100
2025-11-03 08:29:00,10393.02,10393.32,10392.78,10393.08,1787796,2025-11-03,08:29:00,FTSE100
2025-11-03 08:30:00,10393.08,10393.41,10392.95,10393.28,1765949,2025-11-03,08:30:00,FTSE100
2025-11-03 08:31:00,10393.28,10393.62,10391.83,10392.16,1744527,2025-11-03,08:31:00,FTSE100
2025-11-03 08:32:00,10392.16,10392.18,10391.88,10391.89,1723522,2025-11-03,08:32:00,FTSE100
2025-11-03 08:33:00,10391.89,10392.11,10391.0,10391.21,1702924,2025-11-03,08:33:00,FTSE100
2025-11-03 08:34:00,10391.21,10391.29,10390.6,10390.67,1682726,2025-11-03,08:34:00,FTSE100
2025-11-03 08:35:00,10390.67,10391.86,10390.44,10391.63,1662920,2025-11-03,08:35:00,FTSE100
2025-11-03 08:36:00,10391.63,10391.86,10390.86,10391.09,1643500,2025-11-03,08:36:00,FTSE100
2025-11-03 08:37:00,10391.09,10391.3,10390.96,10391.17,1624456,2025-11-03,08:37:00,FTSE100
2025-11-03 08:38:00,10391.17,10392.36,10390.8,10391.99,1605782,2025-11-03,08:38:00,FTSE100
2025-11-03 08:39:00,10391.99,10392.17,10391.44,10391.63,1587472,2025-11-03,08:39:00,FTSE100
2025-11-03 08:40:00,10391.63,10391.82,10391.45,10391.65,1569516,2025-11-03,08:40:00,FTSE100
2025-11-03 08:41:00,10391.65,10391.96,10391.52,10391.84,1551910,2025-11-03,08:41:00,FTSE100
2025-11-03 08:42:00,10391.84,10392.23,10391.62,10392.0,1534645,2025-11-03,08:42:00,FTSE100
2025-11-03 08:43:00,10392.0,10392.2,10390.93,10391.13,1517716,2025-11-03,08:43:00,FTSE100
2025-11-03 08:44:00,10391.13,10391.3,10391.13,10391.3,1501116,2025-11-03,08:44:00,FTSE100
2025-11-03 08:45:00,10391.3,10392.49,10391.29,10392.49,1484838,2025-11-03,08:45:00,FTSE100
2025-11-03 08:46:00,10392.49,10392.62,10391.23,10391.36,1468877,2025-11-03,08:46:00,FTSE100
2025-11-03 08:47:00,10391.36,10392.3,10391.21,10392.15,1453226,2025-11-03,08:47:00,FTSE100
2025-11-03 08:48:00,10392.15,10392.5,10392.01,10392.36,1437878,2025-11-03,08:48:00,FTSE100
2025-11-03 08:49:00,10392.36,10392.38,10391.93,10391.95,1422829,2025-11-03,08:49:00,FTSE100
2025-11-03 08:50:00,10391.95,10393.83,10391.78,10393.66,1408072,2025-11-03,08:50:00,FTSE100
2025-11-03 08:51:00,10393.66,10394.39,10393.65,10394.38,1393602,2025-11-03,08:51:00,FTSE100
2025-11-03 08:52:00,10394.38,10394.55,10393.35,10393.52,1379413,2025-11-03,08:52:00,FTSE100
2025-11-03 08:53:00,10393.52,10393.87,10393.34,10393.69,1365500,2025-11-03,08:53:00,FTSE100
2025-11-03 08:54:00,10393.69,10394.58,10393.37,10394.26,1351857,2025-11-03,08:54:00,FTSE100
2025-11-03 08:55:00,10394.26,10394.26,10394.21,10394.22,1338480,2025-11-03,08:55:00,FTSE100
2025-11-03 08:56:00,10394.22,10394.97,10394.12,10394.87,1325362,2025-11-03,08:56:00,FTSE100
2025-11-03 08:57:00,10394.87,10395.3,10394.49,10394.92,1312499,2025-11-03,08:57:00,FTSE100
2025-11-03 08:58:00,10394.92,10395.68,10394.81,10395.56,1299886,2025-11-03,08:58:00,FTSE100
2025-11-03 08:59:00,10395.56,10396.84,10395.55,10396.82,1287518,2025-11-03,08:59:00,FTSE100
2025-11-03 09:00:00,10396.82,10396.83,10396.38,10396.39,1275391,2025-11-03,09:00:00,FTSE100
2025-11-03 09:01:00,10396.39,10396.77,10396.28,10396.66,1263499,2025-11-03,09:01:00,FTSE100
2025-11-03 09:02:00,10396.66,10396.82,10396.23,10396.4,1251839,2025-11-03,09:02:00,FTSE100
2025-11-03 09:03:00,10396.4,10396.66,10396.35,10396.61,1240405,2025-11-03,09:03:00,FTSE100
2025-11-03 09:04:00,10396.61,10396.87,10395.5,10395.76,1229193,2025-11-03,09:04:00,FTSE100
