timestamp,open,high,low,close,volume,date,time,symbol,return_simple,return_log,sma_20,ema_20,sma_50,ema_50,sma_100,ema_100,realised_vol_20
2026-02-13 08:00:00+00:00,10402.48,10402.52,10402.44,10402.48,3219748,2026-02-13,08:00:00,FTSE100,,,,10402.48,,10402.48,,10402.48,
2026-02-13 08:01:00+00:00,10402.48,10402.86,10402.38,10402.76,3172864,2026-02-13,08:01:00,FTSE100,2.6916658335318644e-05,2.691629608797541e-05,,10402.506666666668,,10402.490980392156,,10402.485544554454,
2026-02-13 08:02:00+00:00,10402.76,10402.85,10402.14,10402.23,3126890,2026-02-13,08:02:00,FTSE100,-5.094801764149448e-05,-5.0949315534509765e-05,,10402.480317460318,,10402.480745866975,,10402.480484266247,
2026-02-13 08:03:00+00:00,10402.23,10402.91,10402.09,10402.77,3081809,2026-02-13,08:03:00,FTSE100,5.1911945804006265e-05,5.191059842424295e-05,,10402.507906273622,,10402.49208916631,,10402.486217251075,
2026-02-13 08:04:00+00:00,10402.77,10403.73,10402.47,10403.43,3037603,2026-02-13,08:04:00,FTSE100,6.344464022567387e-05,6.344262770063835e-05,,10402.595724723753,,10402.528869983318,,10402.50490601838,
2026-02-13 08:05:00+00:00,10403.43,10403.58,10402.21,10402.36,2994256,2026-02-13,08:05:00,FTSE100,-0.00010285069443438655,-0.00010285598393089401,,10402.573274750062,,10402.522247631032,,10402.502036592272,
2026-02-13 08:06:00+00:00,10402.36,10402.36,10401.67,10401.67,2951751,2026-02-13,08:06:00,FTSE100,-6.633110178844159e-05,-6.633330179184327e-05,,10402.48724858339,,10402.488826155306,,10402.485560620147,
2026-02-13 08:07:00+00:00,10401.67,10401.87,10401.64,10401.84,2910070,2026-02-13,08:07:00,FTSE100,1.6343529452456096e-05,1.6343395897067126e-05,,10402.425605861163,,10402.463381992353,,10402.47277724153,
2026-02-13 08:08:00+00:00,10401.84,10401.96,10401.63,10401.75,2869200,2026-02-13,08:08:00,FTSE100,-8.652315359625184e-06,-8.652352789795259e-06,,10402.361262445813,,10402.435406227947,,10402.458464820906,
2026-02-13 08:09:00+00:00,10401.75,10402.01,10401.56,10401.83,2829123,2026-02-13,08:09:00,FTSE100,7.69101353137458e-06,7.690983954589115e-06,,10402.310666022402,,10402.411664807245,,10402.446019972967,
2026-02-13 08:10:00+00:00,10401.83,10401.97,10401.27,10401.41,2789824,2026-02-13,08:10:00,FTSE100,-4.0377510495792635e-05,-4.037832568926092e-05,,10402.224888305982,,10402.372383834412,,10402.425504725978,
2026-02-13 08:11:00+00:00,10401.41,10402.05,10401.39,10402.03,2751289,2026-02-13,08:11:00,FTSE100,5.960730324061636e-05,5.960552679695752e-05,,10402.206327514936,,10402.358957017377,,10402.417672949226,
2026-02-13 08:12:00+00:00,10402.03,10402.68,10401.95,10402.6,2713501,2026-02-13,08:12:00,FTSE100,5.479699635557722e-05,5.479549505338355e-05,,10402.243820132562,,10402.368409683362,,10402.421283385875,
2026-02-13 08:13:00+00:00,10402.6,10402.78,10402.54,10402.73,2676448,2026-02-13,08:13:00,FTSE100,1.2496875781087269e-05,1.2496797696215367e-05,,10402.290122977081,,10402.382589695779,,10402.427396586154,
2026-02-13 08:14:00+00:00,10402.73,10403.62,10402.61,10403.5,2640114,2026-02-13,08:14:00,FTSE100,7.401903154269363e-05,7.401629227032913e-05,,10402.405349360215,,10402.42640970771,,10402.448636257715,
2026-02-13 08:15:00+00:00,10403.5,10403.88,10403.5,10403.88,2604486,2026-02-13,08:15:00,FTSE100,3.652616907756645e-05,3.6525502013162736e-05,,10402.545792278288,,10402.483413248585,,10402.476980094198,
2026-02-13 08:16:00+00:00,10403.88,10403.97,10403.36,10403.46,2569549,2026-02-13,08:16:00,FTSE100,-4.036955443542656e-05,-4.0370369308817544e-05,,10402.632859680356,,10402.521710768247,,10402.496445834908,
2026-02-13 08:17:00+00:00,10403.46,10403.86,10403.37,10403.77,2535292,2026-02-13,08:17:00,FTSE100,2.9797778815954246e-05,2.9797334871517478e-05,,10402.741158758417,,10402.570663287139,,10402.521664729265,
2026-02-13 08:18:00+00:00,10403.77,10403.82,10403.24,10403.29,2501699,2026-02-13,08:18:00,FTSE100,-4.613712144729831e-05,-4.613818579635165e-05,,10402.793429352854,,10402.598872569995,,10402.536879289082,
