timestamp,open,high,low,close,volume,date,time,symbol,return_1m,vol_20m
2025-11-03 08:00:00,10400.0,10400.26,10399.74,10400.0,2649513,2025-11-03,08:00:00,FTSE100,0.0,
2025-11-03 08:01:00,10400.0,10400.31,10399.8,10400.11,2610932,2025-11-03,08:01:00,FTSE100,1.0576923076932587e-05,
2025-11-03 08:02:00,10400.11,10400.66,10399.9,10400.45,2573101,2025-11-03,08:02:00,FTSE100,3.2691961912023615e-05,
2025-11-03 08:03:00,10400.45,10400.51,10400.29,10400.34,2536004,2025-11-03,08:03:00,FTSE100,-1.0576465441447525e-05,
2025-11-03 08:04:00,10400.34,10400.69,10399.39,10399.74,2499627,2025-11-03,08:04:00,FTSE100,-5.7690421659373214e-05,
2025-11-03 08:05:00,10399.74,10399.77,10399.45,10399.48,2463957,2025-11-03,08:05:00,FTSE100,-2.5000625015647593e-05,
2025-11-03 08:06:00,10399.48,10399.62,10398.65,10398.79,2428979,2025-11-03,08:06:00,FTSE100,-6.634947131956004e-05,
2025-11-03 08:07:00,10398.79,10399.08,10398.66,10398.95,2394681,2025-11-03,08:07:00,FTSE100,1.5386405533668324e-05,
2025-11-03 08:08:00,10398.95,10400.27,10398.81,10400.13,2361049,2025-11-03,08:08:00,FTSE100,0.00011347299486952345,
2025-11-03 08:09:00,10400.13,10400.34,10399.63,10399.84,2328070,2025-11-03,08:09:00,FTSE100,-2.788426683120182e-05,
2025-11-03 08:10:00,10399.84,10399.96,10399.34,10399.45,2295731,2025-11-03,08:10:00,FTSE100,-3.7500576931859264e-05,
2025-11-03 08:11:00,10399.45,10399.96,10399.45,10399.95,2264020,2025-11-03,08:11:00,FTSE100,4.8079465740924476e-05,
2025-11-03 08:12:00,10399.95,10400.48,10399.82,10400.35,2232925,2025-11-03,08:12:00,FTSE100,3.846172337373943e-05,
2025-11-03 08:13:00,10400.35,10400.76,10400.12,10400.54,2202434,2025-11-03,08:13:00,FTSE100,1.8268615959993184e-05,
2025-11-03 08:14:00,10400.54,10400.64,10399.8,10399.9,2172535,2025-11-03,08:14:00,FTSE100,-6.153526643826179e-05,
2025-11-03 08:15:00,10399.9,10400.08,10399.81,10399.98,2143217,2025-11-03,08:15:00,FTSE100,7.692381657431469e-06,
2025-11-03 08:16:00,10399.98,10400.65,10399.98,10400.65,2114468,2025-11-03,08:16:00,FTSE100,6.442320081379016e-05,
2025-11-03 08:17:00,10400.65,10400.86,10399.46,10399.68,2086278,2025-11-03,08:17:00,FTSE100,-9.326340180659809e-05,
2025-11-03 08:18:00,10399.68,10399.81,10399.3,10399.42,2058634,2025-11-03,08:18:00,FTSE100,-2.5000769254490685e-05,
2025-11-03 08:19:00,10399.42,10399.47,10397.96,10398.01,2031528,2025-11-03,08:19:00,FTSE100,-0.00013558448451933547,5.755605972763266e-05
2025-11-03 08:20:00,10398.01,10398.06,10397.03,10397.08,2004948,2025-11-03,08:20:00,FTSE100,-8.944019095968869e-05,6.018812299479218e-05
2025-11-03 08:21:00,10397.08,10397.12,10395.68,10395.72,1978885,2025-11-03,08:21:00,FTSE100,-0.00013080595705727838,6.523593811890521e-05
2025-11-03 08:22:00,10395.72,10395.96,10395.39,10395.64,1953327,2025-11-03,08:22:00,FTSE100,-7.695474676161496e-06,6.409809386419999e-05
2025-11-03 08:23:00,10395.64,10395.69,10394.68,10394.73,1928266,2025-11-03,08:23:00,FTSE100,-8.753669807726183e-05,6.559752748692204e-05
2025-11-03 08:24:00,10394.73,10395.07,10394.71,10395.05,1903691,2025-11-03,08:24:00,FTSE100,3.078483038998492e-05,6.639557250742183e-05
2025-11-03 08:25:00,10395.05,10395.32,10395.02,10395.29,1879594,2025-11-03,08:25:00,FTSE100,2.308791203531335e-05,6.71684408817621e-05
2025-11-03 08:26:00,10395.29,10395.31,10395.22,10395.24,1855965,2025-11-03,08:26:00,FTSE100,-4.809870624233881e-06,6.634502584506847e-05
2025-11-03 08:27:00,10395.24,10395.28,10393.31,10393.34,1832795,2025-11-03,08:27:00,FTSE100,-0.00018277596284455022,7.541925959591028e-05
2025-11-03 08:28:00,10393.34,10393.61,10392.74,10393.02,1810075,2025-11-03,08:28:00,FTSE100,-3.0788947537496725e-05,6.779251228030648e-05
2025-11-03 08:29:00,10393.02,10393.32,10392.78,10393.08,1787796,2025-11-03,08:29:00,FTSE100,5.773105411055468e-06,6.837258460535108e-05
2025-11-03 08:30:00,10393.08,10393.41,10392.95,10393.28,1765949,2025-11-03,08:30:00,FTSE100,1.924357360860718e-05,6.932522018558991e-05
2025-11-03 08:31:00,10393.28,10393.62,10391.83,10392.16,1744527,2025-11-03,08:31:00,FTSE100,-0.00010776193848338611,6.888298047862743e-05
2025-11-03 08:32:00,10392.16,10392.18,10391.88,10391.89,1723522,2025-11-03,08:32:00,FTSE100,-2.5981124232132835e-05,6.661438026041344e-05
2025-11-03 08:33:00,10391.89,10392.11,10391.0,10391.21,1702924,2025-11-03,08:33:00,FTSE100,-6.543564260208523e-05,6.533264223752826e-05
2025-11-03 08:34:00,10391.21,10391.29,10390.6,10390.67,1682726,2025-11-03,08:34:00,FTSE100,-5.196699903087243e-05,6.52391542338779e-05
2025-11-03 08:35:00,10390.67,10391.86,10390.44,10391.63,1662920,2025-11-03,08:35:00,FTSE100,9.239057731580402e-05,7.126851371732077e-05
2025-11-03 08:36:00,10391.63,10391.86,10390.86,10391.09,1643500,2025-11-03,08:36:00,FTSE100,-5.196489867320686e-05,6.689735612729644e-05
2025-11-03 08:37:00,10391.09,10391.3,10390.96,10391.17,1624456,2025-11-03,08:37:00,FTSE100,7.698903579989036e-06,6.695057927292469e-05
2025-11-03 08:38:00,10391.17,10392.36,10390.8,10391.99,1605782,2025-11-03,08:38:00,FTSE100,7.891315414920719e-05,7.208680662835583e-05
2025-11-03 08:39:00,10391.99,10392.17,10391.44,10391.63,1587472,2025-11-03,08:39:00,FTSE100,-3.46420656679447e-05,6.815424057249476e-05
2025-11-03 08:40:00,10391.63,10391.82,10391.45,10391.65,1569516,2025-11-03,08:40:00,FTSE100,1.9246258768923497e-06,6.706201909508927e-05
2025-11-03 08:41:00,10391.65,10391.96,10391.52,10391.84,1551910,2025-11-03,08:41:00,FTSE100,1.828391063973811e-05,6.297425541142013e-05
2025-11-03 08:42:00,10391.84,10392.23,10391.62,10392.0,1534645,2025-11-03,08:42:00,FTSE100,1.539669586914094e-05,6.339620263430615e-05
2025-11-03 08:43:00,10392.0,10392.2,10390.93,10391.13,1517716,2025-11-03,08:43:00,FTSE100,-8.371824480379875e-05,6.317958664869558e-05
2025-11-03 08:44:00,10391.13,10391.3,10391.13,10391.3,1501116,2025-11-03,08:44:00,FTSE100,1.6360107129909096e-05,6.268194103808471e-05
2025-11-03 08:45:00,10391.3,10392.49,10391.29,10392.49,1484838,2025-11-03,08:45:00,FTSE100,0.00011451887636781954,6.886814737029169e-05
2025-11-03 08:46:00,10392.49,10392.62,10391.23,10391.36,1468877,2025-11-03,08:46:00,FTSE100,-0.00010873236346620185,7.20285541292089e-05
2025-11-03 08:47:00,10391.36,10392.3,10391.21,10392.15,1453226,2025-11-03,08:47:00,FTSE100,7.60246974409462e-05,6.376687248648116e-05
2025-11-03 08:48:00,10392.15,10392.5,10392.01,10392.36,1437878,2025-11-03,08:48:00,FTSE100,2.0207560514462486e-05,6.373140469446256e-05
2025-11-03 08:49:00,10392.36,10392.38,10391.93,10391.95,1422829,2025-11-03,08:49:00,FTSE100,-3.9452059012567986e-05,6.419787855932265e-05
