date,job,status,duration_sec,sla_breach_flag,run_id
2026-01-31,bronze_ingest,SUCCESS,159.1,False,v2_20260217T141158Z_c04a438c
2026-01-31,silver_transform,SUCCESS,210.9,True,v2_20260217T141158Z_c04a438c
2026-01-31,gold_publish,SUCCESS,255.8,True,v2_20260217T141158Z_c04a438c
2026-02-01,bronze_ingest,SUCCESS,153.2,False,v2_20260217T141158Z_c04a438c
2026-02-01,silver_transform,SUCCESS,221.9,True,v2_20260217T141158Z_c04a438c
2026-02-01,gold_publish,SUCCESS,236.0,True,v2_20260217T141158Z_c04a438c
2026-02-02,bronze_ingest,SUCCESS,191.8,True,v2_20260217T141158Z_c04a438c
2026-02-02,silver_transform,SUCCESS,222.1,True,v2_20260217T141158Z_c04a438c
2026-02-02,gold_publish,SUCCESS,177.9,False,v2_20260217T141158Z_c04a438c
2026-02-03,bronze_ingest,SUCCESS,159.6,False,v2_20260217T141158Z_c04a438c
2026-02-03,silver_transform,SUCCESS,164.2,False,v2_20260217T141158Z_c04a438c
2026-02-03,gold_publish,SUCCESS,186.3,True,v2_20260217T141158Z_c04a438c
2026-02-04,bronze_ingest,SUCCESS,111.7,False,v2_20260217T141158Z_c04a438c
2026-02-04,silver_transform,SUCCESS,240.5,True,v2_20260217T141158Z_c04a438c
2026-02-04,gold_publish,SUCCESS,176.3,False,v2_20260217T141158Z_c04a438c
2026-02-05,bronze_ingest,SUCCESS,213.8,True,v2_20260217T141158Z_c04a438c
2026-02-05,silver_transform,SUCCESS,151.1,False,v2_20260217T141158Z_c04a438c
2026-02-05,gold_publish,SUCCESS,211.1,True,v2_20260217T141158Z_c04a438c
2026-02-06,bronze_ingest,SUCCESS,217.8,True,v2_20260217T141158Z_c04a438c
2026-02-06,silver_transform,SUCCESS,216.6,True,v2_20260217T141158Z_c04a438c
2026-02-06,gold_publish,SUCCESS,246.2,True,v2_20260217T141158Z_c04a438c
2026-02-07,bronze_ingest,SUCCESS,234.5,True,v2_20260217T141158Z_c04a438c
2026-02-07,silver_transform,SUCCESS,256.4,True,v2_20260217T141158Z_c04a438c
2026-02-07,gold_publish,SUCCESS,211.3,True,v2_20260217T141158Z_c04a438c
2026-02-08,bronze_ingest,SUCCESS,165.4,False,v2_20260217T141158Z_c04a438c
2026-02-08,silver_transform,SUCCESS,161.3,False,v2_20260217T141158Z_c04a438c
2026-02-08,gold_publish,FAIL,211.0,True,v2_20260217T141158Z_c04a438c
2026-02-09,bronze_ingest,SUCCESS,195.6,True,v2_20260217T141158Z_c04a438c
2026-02-09,silver_transform,SUCCESS,156.6,False,v2_20260217T141158Z_c04a438c
2026-02-09,gold_publish,SUCCESS,127.2,False,v2_20260217T141158Z_c04a438c
2026-02-10,bronze_ingest,FAIL,184.9,True,v2_20260217T141158Z_c04a438c
2026-02-10,silver_transform,SUCCESS,192.1,True,v2_20260217T141158Z_c04a438c
2026-02-10,gold_publish,SUCCESS,195.7,True,v2_20260217T141158Z_c04a438c
2026-02-11,bronze_ingest,SUCCESS,182.2,True,v2_20260217T141158Z_c04a438c
2026-02-11,silver_transform,SUCCESS,154.2,False,v2_20260217T141158Z_c04a438c
2026-02-11,gold_publish,SUCCESS,263.1,True,v2_20260217T141158Z_c04a438c
2026-02-12,bronze_ingest,SUCCESS,204.4,True,v2_20260217T141158Z_c04a438c
2026-02-12,silver_transform,SUCCESS,136.6,False,v2_20260217T141158Z_c04a438c
2026-02-12,gold_publish,SUCCESS,195.1,True,v2_20260217T141158Z_c04a438c
2026-02-13,bronze_ingest,FAIL,145.0,False,v2_20260217T141158Z_c04a438c
2026-02-13,silver_transform,SUCCESS,176.7,False,v2_20260217T141158Z_c04a438c
2026-02-13,gold_publish,SUCCESS,146.7,False,v2_20260217T141158Z_c04a438c
