timestamp_london,open,high,low,close,volume,return_1m,ma_20,ma_60,rsi_14,vwap,run_id
2025-11-03 08:00:00,10400.0,10400.26,10399.74,10400.0,2649513,,,,,10400.0,v2_20260217T141158Z_c04a438c
2025-11-03 08:01:00,10400.0,10400.31,10399.8,10400.11,2610932,1.0576923076932587e-05,,,,10400.054596620628,v2_20260217T141158Z_c04a438c
2025-11-03 08:02:00,10400.11,10400.66,10399.9,10400.45,2573101,3.2691961912023615e-05,,,,10400.1844755836,v2_20260217T141158Z_c04a438c
2025-11-03 08:03:00,10400.45,10400.51,10400.29,10400.34,2536004,-1.0576465441447525e-05,,,,10400.222511037606,v2_20260217T141158Z_c04a438c
2025-11-03 08:04:00,10400.34,10400.69,10399.39,10399.74,2499627,-5.7690421659373214e-05,10400.128,,,10400.1287911659,v2_20260217T141158Z_c04a438c
2025-11-03 08:05:00,10399.74,10399.77,10399.45,10399.48,2463957,-2.5000625015647593e-05,10400.02,,,10400.024533710459,v2_20260217T141158Z_c04a438c
2025-11-03 08:06:00,10399.48,10399.62,10398.65,10398.79,2428979,-6.634947131956004e-05,10399.844285714285,,,10399.855710527232,v2_20260217T141158Z_c04a438c
2025-11-03 08:07:00,10398.79,10399.08,10398.66,10398.95,2394681,1.5386405533668324e-05,10399.7325,,,10399.748109695916,v2_20260217T141158Z_c04a438c
2025-11-03 08:08:00,10398.95,10400.27,10398.81,10400.13,2361049,0.00011347299486952345,10399.776666666667,,,10399.788151795889,v2_20260217T141158Z_c04a438c
2025-11-03 08:09:00,10400.13,10400.34,10399.63,10399.84,2328070,-2.788426683120182e-05,10399.783,10399.783,,10399.793009989207,v2_20260217T141158Z_c04a438c
2025-11-03 08:10:00,10399.84,10399.96,10399.34,10399.45,2295731,-3.7500576931859264e-05,10399.752727272727,10399.752727272727,,10399.763997057436,v2_20260217T141158Z_c04a438c
2025-11-03 08:11:00,10399.45,10399.96,10399.45,10399.95,2264020,4.8079465740924476e-05,10399.769166666667,10399.769166666667,,10399.778317916915,v2_20260217T141158Z_c04a438c
2025-11-03 08:12:00,10399.95,10400.48,10399.82,10400.35,2232925,3.846172337373943e-05,10399.813846153847,10399.813846153847,,10399.818664950575,v2_20260217T141158Z_c04a438c
2025-11-03 08:13:00,10400.35,10400.76,10400.12,10400.54,2202434,1.8268615959993184e-05,10399.865714285714,10399.865714285714,,10399.865610719273,v2_20260217T141158Z_c04a438c
2025-11-03 08:14:00,10400.54,10400.64,10399.8,10399.9,2172535,-6.153526643826179e-05,10399.868,10399.868,49.146757679177604,10399.867685268975,v2_20260217T141158Z_c04a438c
2025-11-03 08:15:00,10399.9,10400.08,10399.81,10399.98,2143217,7.692381657431469e-06,10399.875,10399.875,48.885077186954874,10399.873993843032,v2_20260217T141158Z_c04a438c
2025-11-03 08:16:00,10399.98,10400.65,10399.98,10400.65,2114468,6.442320081379016e-05,10399.920588235294,10399.920588235294,51.62337662336828,10399.914738554753,v2_20260217T141158Z_c04a438c
2025-11-03 08:17:00,10400.65,10400.86,10399.46,10399.68,2086278,-9.326340180659809e-05,10399.907222222224,10399.907222222224,45.29914529914419,10399.903176738315,v2_20260217T141158Z_c04a438c
2025-11-03 08:18:00,10399.68,10399.81,10399.3,10399.42,2058634,-2.5000769254490685e-05,10399.881578947368,10399.881578947368,47.60479041916266,10399.88078209246,v2_20260217T141158Z_c04a438c
2025-11-03 08:19:00,10399.42,10399.47,10397.96,10398.01,2031528,-0.00013558448451933547,10399.788,10399.788,40.61302681992311,10399.798957855874,v2_20260217T141158Z_c04a438c
2025-11-03 08:20:00,10398.01,10398.06,10397.03,10397.08,2004948,-8.944019095968869e-05,10399.642,10399.659047619047,39.40520446095791,10399.686448607094,v2_20260217T141158Z_c04a438c
2025-11-03 08:21:00,10397.08,10397.12,10395.68,10395.72,1978885,-0.00013080595705727838,10399.422499999999,10399.48,32.57820927722834,10399.53080891441,v2_20260217T141158Z_c04a438c
2025-11-03 08:22:00,10395.72,10395.96,10395.39,10395.64,1953327,-7.695474676161496e-06,10399.182,10399.313043478262,22.521419828642948,10399.385728359252,v2_20260217T141158Z_c04a438c
2025-11-03 08:23:00,10395.64,10395.69,10394.68,10394.73,1928266,-8.753669807726183e-05,10398.9015,10399.122083333334,20.932878270761805,10399.22043709043,v2_20260217T141158Z_c04a438c
2025-11-03 08:24:00,10394.73,10395.07,10394.71,10395.05,1903691,3.078483038998492e-05,10398.667,10398.959200000001,24.770642201829887,10399.079211984143,v2_20260217T141158Z_c04a438c
2025-11-03 08:25:00,10395.05,10395.32,10395.02,10395.29,1879594,2.308791203531335e-05,10398.4575,10398.818076923078,22.458628841617426,10398.956619519797,v2_20260217T141158Z_c04a438c
2025-11-03 08:26:00,10395.29,10395.31,10395.22,10395.24,1855965,-4.809870624233881e-06,10398.28,10398.685555555556,18.495684340333398,10398.84156290047,v2_20260217T141158Z_c04a438c
2025-11-03 08:27:00,10395.24,10395.28,10393.31,10393.34,1832795,-0.00018277596284455022,10397.9995,10398.494642857142,13.340122199601467,10398.678364521518,v2_20260217T141158Z_c04a438c
2025-11-03 08:28:00,10393.34,10393.61,10392.74,10393.02,1810075,-3.0788947537496725e-05,10397.644,10398.305862068966,13.789473684221676,10398.5173136955,v2_20260217T141158Z_c04a438c
2025-11-03 08:29:00,10393.02,10393.32,10392.78,10393.08,1787796,5.773105411055468e-06,10397.306,10398.131666666666,13.607594936716083,10398.368638902992,v2_20260217T141158Z_c04a438c
2025-11-03 08:30:00,10393.08,10393.41,10392.95,10393.28,1765949,1.924357360860718e-05,10396.997500000001,10397.975161290322,9.100998890136992,10398.23481292998,v2_20260217T141158Z_c04a438c
2025-11-03 08:31:00,10393.28,10393.62,10391.83,10392.16,1744527,-0.00010776193848338611,10396.608,10397.7934375,8.951965065515466,10398.080986008392,v2_20260217T141158Z_c04a438c
2025-11-03 08:32:00,10392.16,10392.18,10391.88,10391.89,1723522,-2.5981124232132835e-05,10396.185,10397.614545454546,8.942202835345654,10397.929885039619,v2_20260217T141158Z_c04a438c
2025-11-03 08:33:00,10391.89,10392.11,10391.0,10391.21,1702924,-6.543564260208523e-05,10395.718499999999,10397.426176470588,9.715639810439882,10397.771651329753,v2_20260217T141158Z_c04a438c
2025-11-03 08:34:00,10391.21,10391.29,10390.6,10390.67,1682726,-5.196699903087243e-05,10395.257,10397.233142857142,10.186335403742007,10397.610168874444,v2_20260217T141158Z_c04a438c
2025-11-03 08:35:00,10390.67,10391.86,10390.44,10391.63,1662920,9.239057731580402e-05,10394.8395,10397.0775,23.26797385621329,10397.478741338751,v2_20260217T141158Z_c04a438c
2025-11-03 08:36:00,10391.63,10391.86,10390.86,10391.09,1643500,-5.196489867320686e-05,10394.3615,10396.915675675677,21.948212083853605,10397.342924244243,v2_20260217T141158Z_c04a438c
2025-11-03 08:37:00,10391.09,10391.3,10390.96,10391.17,1624456,7.698903579989036e-06,10393.935999999998,10396.76447368421,25.549450549456253,10397.215885184767,v2_20260217T141158Z_c04a438c
2025-11-03 08:38:00,10391.17,10392.36,10390.8,10391.99,1605782,7.891315414920719e-05,10393.5645,10396.642051282051,30.3341902313674,10397.111692211476,v2_20260217T141158Z_c04a438c
2025-11-03 08:39:00,10391.99,10392.17,10391.44,10391.63,1587472,-3.46420656679447e-05,10393.2455,10396.516749999999,26.83544303796303,10397.005733710957,v2_20260217T141158Z_c04a438c
2025-11-03 08:40:00,10391.63,10391.82,10391.45,10391.65,1569516,1.9246258768923497e-06,10392.974,10396.398048780487,27.19186785260095,10396.905300264762,v2_20260217T141158Z_c04a438c
2025-11-03 08:41:00,10391.65,10391.96,10391.52,10391.84,1551910,1.828391063973811e-05,10392.78,10396.289523809523,37.824675324675034,10396.813088494193,v2_20260217T141158Z_c04a438c
2025-11-03 08:42:00,10391.84,10392.23,10391.62,10392.0,1534645,1.539669586914094e-05,10392.598,10396.18976744186,41.499999999996355,10396.72797513194,v2_20260217T141158Z_c04a438c
