timestamp_london,interval,open,high,low,close,prev_close,delta_pct,session_high,session_low,realised_vol_20,volume,run_id,freshness_minutes
2025-11-03 08:00:00,5m,10400.0,10400.69,10399.39,10399.74,10400.07,-0.0031730555659748028,10400.69,10399.39,,12869177,v2_20260217T141158Z_c04a438c,5621
2025-11-03 08:05:00,5m,10399.74,10400.34,10398.65,10399.84,10400.07,-0.00221152357627874,10400.69,10398.65,,11976736,v2_20260217T141158Z_c04a438c,5621
2025-11-03 08:10:00,5m,10399.84,10400.76,10399.34,10399.9,10400.07,-0.0016346043824722045,10400.76,10398.65,,11167645,v2_20260217T141158Z_c04a438c,5621
2025-11-03 08:15:00,5m,10399.9,10400.86,10397.96,10398.01,10400.07,-0.019807558987583462,10400.86,10397.96,,10434125,v2_20260217T141158Z_c04a438c,5621
2025-11-03 08:20:00,5m,10398.01,10398.06,10394.68,10395.05,10400.07,-0.048268905882364876,10400.86,10394.68,,9769117,v2_20260217T141158Z_c04a438c,5621
2025-11-03 08:25:00,5m,10395.05,10395.32,10392.74,10393.08,10400.07,-0.06721108607922188,10400.86,10392.74,0.0005833041443815965,9166225,v2_20260217T141158Z_c04a438c,5621
2025-11-03 08:30:00,5m,10393.08,10393.62,10390.6,10390.67,10400.07,-0.09038400703071936,10400.86,10390.6,0.0005550632348295838,8619648,v2_20260217T141158Z_c04a438c,5621
2025-11-03 08:35:00,5m,10390.67,10392.36,10390.44,10391.63,10400.07,-0.08115329992971487,10400.86,10390.44,0.0006467649316187695,8124130,v2_20260217T141158Z_c04a438c,5621
2025-11-03 08:40:00,5m,10391.63,10392.23,10390.93,10391.3,10400.07,-0.08432635549568968,10400.86,10390.44,0.000611896753653513,7674903,v2_20260217T141158Z_c04a438c,5621
2025-11-03 08:45:00,5m,10391.3,10392.62,10391.21,10391.95,10400.07,-0.07807639756269857,10400.86,10390.44,0.0006224167072022881,7267648,v2_20260217T141158Z_c04a438c,5621
