date,timestamp,ticker,sector,index_weight,close,return
2025-11-03,2025-11-03,SHEL.L,Energy,0.075,151.39269437389643,0.0246885217880691
2025-11-04,2025-11-04,SHEL.L,Energy,0.075,149.47451965212628,-0.012670193431083384
2025-11-05,2025-11-05,SHEL.L,Energy,0.075,148.19006508623468,-0.008593133925975629
2025-11-06,2025-11-06,SHEL.L,Energy,0.075,146.6970143811531,-0.010075241577178193
2025-11-07,2025-11-07,SHEL.L,Energy,0.075,147.3430693159882,0.004404008749329289
2025-11-10,2025-11-10,SHEL.L,Energy,0.075,145.73604100070287,-0.010906711274209505
2025-11-11,2025-11-11,SHEL.L,Energy,0.075,148.0527774804171,0.015896798511927924
2025-11-12,2025-11-12,SHEL.L,Energy,0.075,142.50090296184706,-0.037499293245642634
2025-11-13,2025-11-13,SHEL.L,Energy,0.075,146.2531949026459,0.026331706415947894
2025-11-14,2025-11-14,SHEL.L,Energy,0.075,145.94325056005803,-0.002119231260514854
2025-11-17,2025-11-17,SHEL.L,Energy,0.075,148.03192483062523,0.01431155097993156
2025-11-18,2025-11-18,SHEL.L,Energy,0.075,148.7089019514406,0.004573183261583267
2025-11-19,2025-11-19,SHEL.L,Energy,0.075,147.06224294375778,-0.011073035884701134
2025-11-20,2025-11-20,SHEL.L,Energy,0.075,148.4939767759386,0.00973556368733172
2025-11-21,2025-11-21,SHEL.L,Energy,0.075,150.90909553720738,0.016264085680141295
2025-11-24,2025-11-24,SHEL.L,Energy,0.075,150.4575730576392,-0.0029920163391136613
2025-11-25,2025-11-25,SHEL.L,Energy,0.075,149.5267974550569,-0.006186299457493575
2025-11-26,2025-11-26,SHEL.L,Energy,0.075,150.52888808240397,0.0067017460709561105
2025-11-27,2025-11-27,SHEL.L,Energy,0.075,147.50981512691715,-0.020056435638015978
2025-11-28,2025-11-28,SHEL.L,Energy,0.075,142.74424887900435,-0.03230677391746784
2025-12-01,2025-12-01,SHEL.L,Energy,0.075,143.54780543489588,0.005629344524924908
2025-12-02,2025-12-02,SHEL.L,Energy,0.075,141.45277817082467,-0.014594631089789745
2025-12-03,2025-12-03,SHEL.L,Energy,0.075,136.87914145014247,-0.03233331136952896
2025-12-04,2025-12-04,SHEL.L,Energy,0.075,134.3801923457116,-0.018256610013448256
2025-12-05,2025-12-05,SHEL.L,Energy,0.075,132.1695333569226,-0.016450780060663566
2025-12-08,2025-12-08,SHEL.L,Energy,0.075,128.76971567008408,-0.025723157224572933
2025-12-09,2025-12-09,SHEL.L,Energy,0.075,124.307148232283,-0.03465541113125118
2025-12-10,2025-12-10,SHEL.L,Energy,0.075,124.27779683256986,-0.00023611996679619358
2025-12-11,2025-12-11,SHEL.L,Energy,0.075,125.81546800509128,0.01237285510132611
2025-12-12,2025-12-12,SHEL.L,Energy,0.075,125.40605394392755,-0.0032540836802924457
2025-12-15,2025-12-15,SHEL.L,Energy,0.075,123.58847133638048,-0.014493579459567085
2025-12-16,2025-12-16,SHEL.L,Energy,0.075,123.77144176010692,0.0014804813244143821
2025-12-17,2025-12-17,SHEL.L,Energy,0.075,124.35284039114178,0.004697356860088228
2025-12-18,2025-12-18,SHEL.L,Energy,0.075,123.6928352653447,-0.005307519504348287
2025-12-19,2025-12-19,SHEL.L,Energy,0.075,125.00496606518195,0.010607977390302878
2025-12-22,2025-12-22,SHEL.L,Energy,0.075,128.4086630122046,0.027228493828380274
2025-12-23,2025-12-23,SHEL.L,Energy,0.075,127.42187179993125,-0.007684771331818742
2025-12-24,2025-12-24,SHEL.L,Energy,0.075,126.02547180959671,-0.01095887205712277
2025-12-25,2025-12-25,SHEL.L,Energy,0.075,126.51333896436752,0.0038711789590273713
2025-12-26,2025-12-26,SHEL.L,Energy,0.075,126.1649354689571,-0.0027538874419285406
2025-12-29,2025-12-29,SHEL.L,Energy,0.075,128.20596512744862,0.01617747158435871
2025-12-30,2025-12-30,SHEL.L,Energy,0.075,124.73358531882212,-0.027084385700576526
2025-12-31,2025-12-31,SHEL.L,Energy,0.075,123.05325893012434,-0.01347132277487921
2026-01-01,2026-01-01,SHEL.L,Energy,0.075,120.59517077097709,-0.019975807065321705
2026-01-02,2026-01-02,SHEL.L,Energy,0.075,117.30280041353264,-0.027301013269403682
2026-01-05,2026-01-05,SHEL.L,Energy,0.075,117.3076580032836,4.141068869497168e-05
2026-01-06,2026-01-06,SHEL.L,Energy,0.075,118.45449501656508,0.009776318381953954
2026-01-07,2026-01-07,SHEL.L,Energy,0.075,116.94894379522896,-0.012709954325714482
2026-01-08,2026-01-08,SHEL.L,Energy,0.075,120.85886971294651,0.03343275955158385
2026-01-09,2026-01-09,SHEL.L,Energy,0.075,123.42957868421861,0.021270337687071122
2026-01-12,2026-01-12,SHEL.L,Energy,0.075,124.12465425831869,0.005631353371774428
2026-01-13,2026-01-13,SHEL.L,Energy,0.075,126.45250651520828,0.01875414897063924
2026-01-14,2026-01-14,SHEL.L,Energy,0.075,129.46759456301473,0.023843640042388613
